COUNTYFP,GEOID,NAME,Life_exp,Pop per sq mi,"Primary Care Physicians rate per 100,000"
1,13001,"Appling County, GA",74.05,36.19449902,65.02655251
3,13003,"Atkinson County, GA",74.56666667,24.67455621,11.90759705
5,13005,"Bacon County, GA",72.83333333,39.40701754,70.8027259
7,13007,"Baker County, GA",77.1,9.311953353,62.89308176
9,13009,"Baldwin County, GA",75.04444444,176.5465116,83.591808
11,13011,"Banks County, GA",76.225,78.55128205,27.0343336
13,13013,"Barrow County, GA",75.16470588,462.8333333,37.15005971
15,13015,"Bartow County, GA",76.03571429,221.8326087,56.44933672
17,13017,"Ben Hill County, GA",73.28,68.87698413,57.46135724
19,13019,"Berrien County, GA",74.78,42.01548673,26.367136
21,13021,"Bibb County, GA",73.45641026,615.78,132.7079579
23,13023,"Bleckley County, GA",75.53333333,58.58986175,49.00759618
25,13025,"Brantley County, GA",75.06666667,41.52477477,10.8371715
27,13027,"Brooks County, GA",74.64,31.72064777,38.31907012
29,13029,"Bryan County, GA",76.14,78.71493213,59.76605857
31,13031,"Bulloch County, GA",75.61111111,107.0512445,57.8106289
33,13033,"Burke County, GA",73.84,27.23465704,48.36227742
35,13035,"Butts County, GA",75.8,125.7754011,59.33963464
37,13037,"Calhoun County, GA",77.1,23.33571429,30.86896126
39,13039,"Camden County, GA",76.4,83.23650794,57.57936356
43,13043,"Candler County, GA",75.4,44.02024291,73.48888481
45,13045,"Carroll County, GA",75.025,229.3807615,56.74625693
47,13047,"Catoosa County, GA",76.49090909,406.037037,56.01816805
49,13049,"Charlton County, GA",76.6,16.95134443,30.85229464
51,13051,"Chatham County, GA",76.245,649.9068182,88.86379793
53,13053,"Chattahoochee County, GA",73.4,44.34538153,43.98311049
55,13055,"Chattooga County, GA",72.9,79.31528662,44.13770965
57,13057,"Cherokee County, GA",79.11666667,555.0212264,51.29292073
59,13059,"Clarke County, GA",77.49166667,1021.165289,108.9482859
61,13061,"Clay County, GA",72.2,15.77948718,31.83699459
63,13063,"Clayton County, GA",75.4047619,1907.132867,42.70774397
65,13065,"Clinch County, GA",73,8.437577256,29.0149427
67,13067,"Cobb County, GA",79.41962617,2173.682353,62.58987177
69,13069,"Coffee County, GA",73.1625,71.76460768,71.91240605
71,13071,"Colquitt County, GA",75.31,82.36594203,58.89538435
73,13073,"Columbia County, GA",78.38333333,495.9896552,59.00646989
75,13075,"Cook County, GA",74.15,74.54148472,46.71805653
77,13077,"Coweta County, GA",77.34736842,311.8397291,54.90258403
79,13079,"Crawford County, GA",75.63333333,38.01230769,16.14465612
81,13081,"Crisp County, GA",74.95,83.7919708,74.29745203
83,13083,"Dade County, GA",76.275,92.88505747,24.59419577
85,13085,"Dawson County, GA",77.03333333,110.7535545,85.79272478
87,13087,"Decatur County, GA",74.35714286,45.30820771,69.91977626
89,13089,"DeKalb County, GA",77.73888889,2740.425373,113.4893063
91,13091,"Dodge County, GA",75.6,42.1996008,95.77626664
93,13093,"Dooly County, GA",79.93333333,35.70992366,7.125044532
95,13095,"Dougherty County, GA",74.50769231,277.3121212,111.6804625
97,13097,"Douglas County, GA",76.285,704.3869347,49.73957778
99,13099,"Early County, GA",74.02,20.47358121,37.8250591
101,13101,"Echols County, GA",74.55,9.975247525,0
103,13103,"Effingham County, GA",76.24,118.9083333,29.76920113
105,13105,"Elbert County, GA",73.7,52.30894309,56.80644495
107,13107,"Emanuel County, GA",73.1,32.75655977,48.44107803
109,13109,"Evans County, GA",76.6,57.78378378,55.62250858
111,13111,"Fannin County, GA",75.825,63.32124352,69.95021191
113,13113,"Fayette County, GA",79.775,559.0913706,96.6454107
115,13115,"Floyd County, GA",75.765,187.497076,134.7094421
117,13117,"Forsyth County, GA",79.7625,934.7345133,44.24820418
119,13119,"Franklin County, GA",74.44,84.66539924,49.30303438
121,13121,"Fulton County, GA",77.36481481,1900.05104,129.2350197
123,13123,"Gilmer County, GA",79.2,69.11943794,54.42176871
125,13125,"Glascock County, GA",77,20.97222222,0
127,13127,"Glynn County, GA",77.23333333,197.4194313,76.57425908
129,13129,"Gordon County, GA",76.44444444,158.6591549,68.93626047
131,13131,"Grady County, GA",76.5,54.77947598,67.44693513
133,13133,"Greene County, GA",76.24,42.82731959,71.81328546
